rA1
rA2
rAMYG
rCCA
rCCP
rCCR
rCCS
rFEF
rG
rHC
rIA
rIP
rM1
rPCI
rPCIP
rPCM
rPCS
rPFCCL
rPFCDL
rPFCDM
rPFCM
rPFCORB
rPFCPOL
rPFCVL
rPHC
rPMCDL
rPMCM
rPMCVL
rS1
rS2
rTCC
rTCI
rTCPOL
rTCS
rTCV
rV1
rV2
rCC
lA1
lA2
lAMYG
lCCA
lCCP
lCCR
lCCS
lFEF
lG
lHC
lIA
lIP
lM1
lPCI
lPCIP
lPCM
lPCS
lPFCCL
lPFCDL
lPFCDM
lPFCM
lPFCORB
lPFCPOL
lPFCVL
lPHC
lPMCDL
lPMCM
lPMCVL
lS1
lS2
lTCC
lTCI
lTCPOL
lTCS
lTCV
lV1
lV2
lCC
