56.0	1014.0	153.0	4544.1	1014.0	10450.8408	4283.4487	1164.3668	22833.9375	21669.5703
57.0	1015.0	339.0	10068.3	1015.0	11492.7324	3340.075	1894.7806	21637.8359	19743.0547
58.0	1016.0	79.0	2346.3	1016.0	6839.438	1844.826	1350.5944	9574.3105	8223.7158
59.0	1017.0	164.0	4870.8	1017.0	10107.1465	1726.1932	7621.3335	16803.1504	9181.8164
60.0	1018.0	156.0	4633.2	1018.0	13900.2969	2422.8684	10123.0371	21783.6387	11660.6016
61.0	1019.0	71.0	2108.7	1019.0	14516.9131	3540.9475	3099.3123	24026.1855	20926.873
62.0	1020.0	158.0	4692.6	1020.0	15166.582	2977.2078	8342.2852	25701.8535	17359.5684
63.0	1021.0	61.0	1811.7	1021.0	13303.2822	1760.4753	9473.1865	16722.4844	7249.2979
64.0	1022.0	316.0	9385.2	1022.0	10918.8965	3312.8853	418.8627	18626.6367	18207.7734
65.0	1023.0	90.0	2673.0	1023.0	9235.209	906.6749	7343.8667	11613.1074	4269.2407
66.0	1024.0	418.0	12414.6	1024.0	11066.6719	3102.0796	388.3217	17778.8125	17390.4902
67.0	1025.0	281.0	8345.7	1025.0	11611.5547	2039.6569	7894.9272	19003.3809	11108.4531
68.0	1026.0	100.0	2970.0	1026.0	14187.3779	2091.8845	8522.2715	17998.3594	9476.0879
69.0	1027.0	507.0	15057.9	1027.0	18769.2305	4903.8628	1285.437	35516.1094	34230.6719
70.0	1028.0	739.0	21948.3	1028.0	14432.6943	4402.5273	2030.821	30411.4746	28380.6543
71.0	1029.0	485.0	14404.5	1029.0	14674.5039	3690.4209	1299.3401	29401.7695	28102.4297
72.0	1030.0	382.0	11345.4	1030.0	12217.6475	2540.2158	2734.1528	21870.9434	19136.791
73.0	1031.0	371.0	11018.7	1031.0	13232.5156	3292.343	1351.0405	21246.3613	19895.3203
74.0	1032.0	21.0	623.7	1032.0	7718.9927	5493.2871	1231.2816	19749.418	18518.1367
75.0	1033.0	78.0	2316.6	1033.0	8383.0869	1556.1123	4406.9053	12706.4033	8299.498
76.0	1034.0	42.0	1247.4	1034.0	10544.8545	1092.4536	8215.2773	12584.833	4369.5557
77.0	1035.0	237.0	7038.9	1035.0	11469.9014	1500.9651	8343.2783	14966.8848	6623.6064
78.0	2000.0	8.0	237.6	2000.0	8642.1348	1592.6102	6029.7651	11036.8623	5007.0972
79.0	2001.0	100.0	2970.0	2001.0	10739.3184	1862.8627	1851.1118	16469.168	14618.0566
80.0	2002.0	86.0	2554.2	2002.0	11876.8203	1849.3237	7831.25	15226.9414	7395.6914
81.0	2003.0	188.0	5583.6	2003.0	10634.1826	2627.0713	341.3926	15652.8203	15311.4277
82.0	2005.0	83.0	2465.1	2005.0	11577.8926	2579.981	2828.3345	15646.4707	12818.1367
83.0	2006.0	59.0	1752.3	2006.0	6574.5845	2276.1443	924.965	9713.2168	8788.252
84.0	2007.0	348.0	10335.6	2007.0	7015.4067	1886.7891	585.7185	10965.8711	10380.1523
85.0	2008.0	620.0	18414.0	2008.0	14910.46	3164.4272	1397.868	23658.3906	22260.5234
86.0	2009.0	395.0	11731.5	2009.0	8188.4092	3495.3191	548.9456	15507.959	14959.0137
87.0	2010.0	94.0	2791.8	2010.0	8085.7046	1481.6566	3260.9446	10626.8291	7365.8848
88.0	2011.0	315.0	9355.5	2011.0	12114.4268	2521.9216	6558.9463	21073.168	14514.2217
89.0	2012.0	240.0	7128.0	2012.0	12213.2246	3466.7791	725.954	20032.1621	19306.209
90.0	2013.0	167.0	4959.9	2013.0	7759.3462	1240.6404	3199.0159	10101.3213	6902.3057
91.0	2014.0	148.0	4395.6	2014.0	11232.498	4537.0591	1190.1493	20188.5391	18998.3906
92.0	2015.0	422.0	12533.4	2015.0	11456.1875	2344.2214	2192.6021	18082.2246	15889.623
93.0	2016.0	93.0	2762.1	2016.0	5788.7124	1784.1816	658.2912	8043.627	7385.3359
94.0	2017.0	121.0	3593.7	2017.0	9500.249	1580.8304	4506.5361	14536.959	10030.4229
95.0	2018.0	129.0	3831.3	2018.0	13738.7891	2632.571	8470.1777	20846.8496	12376.6719
96.0	2019.0	101.0	2999.7	2019.0	15233.4971	3885.908	2355.8042	26559.8789	24204.0742
97.0	2020.0	180.0	5346.0	2020.0	16832.2812	3496.7888	10282.7139	26939.4609	16656.7461
98.0	2021.0	67.0	1989.9	2021.0	10336.6719	1313.4678	7393.4023	13658.8525	6265.4502
99.0	2022.0	321.0	9533.7	2022.0	11217.999	3372.4187	523.9061	18642.1562	18118.25
